Renda per capita
Sigla,Código,Município,1991,2000,
AM,1300607,Benjamin Constant,114.239,76.275,
AM,1300631,Beruri,58.438,67.953,
AM,1300680,Boa Vista do Ramos,77.626,60.537,
AM,1300706,Boca do Acre,80.992,92.579,
AM,1300805,Borba,84.403,60.606,
AM,1300839,Caapiranga,82.099,78.016,
AM,1300904,Canutama,63.3,63.906,
AM,1301001,Carauari,79.955,81.395,
AM,1301100,Careiro,131.986,72.411,
AM,1301159,Careiro da Várzea,95.49,84.488,
AM,1301209,Coari,75.064,81.17,
AM,1301308,Codajás,134.664,70.897,
AM,1301407,Eirunepé,53.222,69.857,
AM,1301506,Envira,51.324,43.721,
AM,1301605,Fonte Boa,82.577,44.085,
AM,1301654,Guajará,67.946,36.956,
AM,1301704,Humaitá,92.028,134.356,
AM,1301803,Ipixuna,37.67,39.572,
AM,1301852,Iranduba,114.352,113.849,
AM,1301902,Itacoatiara,109.669,117.289,
AM,1301951,Itamarati,78.555,48.227,
AM,1302009,Itapiranga,98.221,78,
AM,1302108,Japurá,81.181,54.659,
AM,1302207,Juruá,55.859,74.196,
AM,1302306,Jutaí,74.407,60.786,
AM,1302405,Lábrea,78.041,66.464,
AM,1302504,Manacapuru,102.977,101.233,
AM,1302553,Manaquiri,119.508,110.052,
AM,1302603,Manaus,276.902,262.397,
AM,1302702,Manicoré,81.896,70.256,
AM,1302801,Maraã,64.127,56.698,
AM,1302900,Maués,132.792,96.111,
AM,1303007,Nhamundá,77.835,69.016,
AM,1303106,Nova Olinda do Norte,86.634,70.892,
AM,1303205,Novo Airão,89.979,93.272,
AM,1303304,Novo Aripuanã,103.67,70.146,
AM,1303403,Parintins,102.711,91.727,
AM,1303502,Pauini,100.085,73.399,
AM,1303536,Presidente Figueiredo,196.916,188.227,
AM,1303569,Rio Preto da Eva,134.028,107.895,
AM,1303601,Santa Isabel do Rio Negro,54.066,56.117,
AM,1303700,Santo Antônio do Içá,70.252,46.487,
AM,1303809,São Gabriel da Cachoeira,116.78,106.61,
AM,1303908,São Paulo de Olivença,47.272,50.539,
AM,1303957,São Sebastião do Uatumã,123.837,72.925,
AM,1304005,Silves,113.671,73.013,
AM,1304062,Tabatinga,96.077,142.079,
AM,1304104,Tapauá,43.418,47.726,
AM,1304203,Tefé,105.375,117.549,
AM,1304237,Tonantins,58.457,58.125,
AM,1304260,Uarini,114.718,72.819,
AM,1304302,Urucará,110.765,132.73,
AM,1304401,Urucurituba,48.632,64.695,
AP,1600055,Serra do Navio,183.151,146.382,
AP,1600105,Amapá,108.348,135.432,
AP,1600154,Pedra Branca do Amaparí,79.904,88.369,
AP,1600204,Calçoene,144.629,136.15,
AP,1600212,Cutias,78.203,77.429,
AP,1600238,Ferreira Gomes,90.018,107.193,
AP,1600253,Itaubal,75.812,83.036,
AP,1600279,Laranjal do Jari,163.82,157.433,
AP,1600303,Macapá,233.51,253.689,
AP,1600402,Mazagão,79.587,87.178,
AP,1600501,Oiapoque,172.023,257.93,
AP,1600535,Porto Grande,130.424,146.452,
AP,1600550,Pracuúba,53.716,91.446,
AP,1600600,Santana,142.67,162.387,
AP,1600709,Tartarugalzinho,92.452,89.978,
AP,1600808,Vitória do Jari,93.021,115.851,
BA,2900108,Abaíra,69.812,102.114,
BA,2900207,Abaré,73.573,79.876,
BA,2900306,Acajutiba,69.378,80.284,
BA,2900355,Adustina,56.472,85.811,
BA,2900405,Água Fria,39.392,58.146,
BA,2900504,Érico Cardoso,54.388,74.34,
BA,2900603,Aiquara,61.839,86.139,
BA,2900702,Alagoinhas,140.032,181.264,
BA,2900801,Alcobaça,81.702,116.631,
BA,2900900,Almadina,43.565,84.976,
BA,2901007,Amargosa,76.853,123.574,
BA,2901106,Amélia Rodrigues,81.182,125.663,
BA,2901155,América Dourada,63.877,65.049,
BA,2901205,Anagé,45.763,61.939,
BA,2901304,Andaraí,63.24,82.381,
BA,2901353,Andorinha,53.963,76.262,
BA,2901403,Angical,59.727,71.46,
BA,2901502,Anguera,52.604,71.094,
BA,2901601,Antas,65.612,99.988,
BA,2901700,Antônio Cardoso,42.022,73.641,
BA,2901809,Antônio Gonçalves,47.659,77.121,
BA,2901908,Aporá,56.933,71.846,
BA,2901957,Apuarema,47.336,72.094,
BA,2902005,Aracatu,36.421,67.781,
BA,2902054,Araças,53.518,62.345,
BA,2902104,Araci,40.935,59.235,
BA,2902203,Aramari,62.049,94.748,
BA,2902252,Arataca,43.898,73.166,
BA,2902302,Aratuípe,60.863,78.254,
BA,2902401,Aurelino Leal,53.12,63.206,
BA,2902500,Baianópolis,46.879,76.898,
BA,2902609,Baixa Grande,40.751,73.354,
BA,2902658,Banzaê,53.743,70.567,
BA,2902708,Barra,44.501,56.374,
BA,2902807,Barra da Estiva,59.155,96.164,
BA,2902906,Barra do Choça,67.939,71.748,
BA,2903003,Barra do Mendes,69.646,89.723,
BA,2903102,Barra do Rocha,48.063,77.548,
BA,2903201,Barreiras,166.98,229.244,
BA,2903235,Barro Alto,60.027,76.316,
BA,2903276,Barrocas,,,
BA,2903300,Governador Lomanto Júnior,37.304,84.062,
BA,2903409,Belmonte,69.988,114.722,
BA,2903508,Belo Campo,61.891,98.47,
BA,2903607,Biritinga,55.778,78.973,
BA,2903706,Boa Nova,48.524,54.428,
BA,2903805,Boa Vista do Tupim,84.916,59.066,
BA,2903904,Bom Jesus da Lapa,82.944,125.413,
BA,2903953,Bom Jesus da Serra,46.456,52.599,
BA,2904001,Boninal,57.108,76.804,
BA,2904050,Bonito,62.824,76.336,
BA,2904100,Boquira,57.525,80.919,
BA,2904209,Botuporã,34.988,55.833,
BA,2904308,Brejões,59.207,100.11,
BA,2904407,Brejolândia,52.863,61.678,
BA,2904506,Brotas de Macaúbas,50.913,64.077,
BA,2904605,Brumado,150.232,135.333,
BA,2904704,Buerarema,65.102,87.032,
BA,2904753,Buritirama,38.479,40.515,
BA,2904803,Caatiba,67.638,68.326,
BA,2904852,Cabaceiras do Paraguaçu,38.953,64.593,
BA,2904902,Cachoeira,83.171,119.473,
BA,2905008,Caculé,69.496,145.141,
BA,2905107,Caém,42.515,65.816,
BA,2905156,Caetanos,47.629,61.663,
BA,2905206,Caetité,71.3,108.251,
BA,2905305,Cafarnaum,58.78,85.821,
BA,2905404,Cairu,68.789,85.307,
BA,2905503,Caldeirão Grande,54.721,60.959,
BA,2905602,Camacan,91.761,106.973,
BA,2905701,Camaçari,130.458,163.149,
BA,2905800,Camamu,57.479,79.102,
BA,2905909,Campo Alegre de Lourdes,57.096,62.981,
BA,2906006,Campo Formoso,56.232,91.236,
BA,2906105,Canápolis,41.144,77.335,
BA,2906204,Canarana,85.444,87.739,
BA,2906303,Canavieiras,66.919,120.983,
BA,2906402,Candeal,52.147,72.089,
BA,2906501,Candeias,127.483,149.375,
BA,2906600,Candiba,52.269,75.746,
BA,2906709,Cândido Sales,68.841,110.8,
BA,2906808,Cansanção,71.325,56.301,
BA,2906824,Canudos,52.917,75.301,
BA,2906857,Capela do Alto Alegre,75.254,104.521,
BA,2906873,Capim Grosso,65.792,106.093,
BA,2906899,Caraíbas,55.219,74.286,
BA,2906907,Caravelas,72.089,184.732,
BA,2907004,Cardeal da Silva,51.158,69.82,
BA,2907103,Carinhanha,48.501,64.707,
BA,2907202,Casa Nova,78.014,88.762,
BA,2907301,Castro Alves,64.498,80.07,
BA,2907400,Catolândia,57.118,69.885,
BA,2907509,Catu,102.829,140.227,
BA,2907558,Caturama,70.123,63.817,
BA,2907608,Central,66.261,82.826,
BA,2907707,Chorrochó,56.315,68.401,
BA,2907806,Cícero Dantas,69.719,102.976,
BA,2907905,Cipó,76.372,101.4,
BA,2908002,Coaraci,67.688,99.228,
BA,2908101,Cocos,66.218,82.902,
BA,2908200,Conceição da Feira,88.327,96.799,
BA,2908309,Conceição do Almeida,72.286,94.824,
BA,2908408,Conceição do Coité,67.507,94.896,
BA,2908507,Conceição do Jacuípe,101.243,140.286,
BA,2908606,Conde,53.343,78.895,
BA,2908705,Condeúba,91.071,107.436,
BA,2908804,Contendas do Sincorá,73.682,97.252,
BA,2908903,Coração de Maria,65.304,92.604,
BA,2909000,Cordeiros,51.486,84.11,
BA,2909109,Coribe,76.68,55.826,
BA,2909208,Coronel João Sá,55.656,56.935,
BA,2909307,Correntina,69.576,90.57,
BA,2909406,Cotegipe,51.777,76.422,
BA,2909505,Cravolândia,45.62,77.424,
BA,2909604,Crisópolis,69.52,80.22,
BA,2909703,Cristópolis,70.378,75.834,
BA,2909802,Cruz das Almas,108.111,159.005,
BA,2909901,Curaçá,70.128,95.151,
BA,2910008,Dário Meira,42.092,55.068,
BA,2910057,Dias d'Ávila,140.441,146.82,
BA,2910107,Dom Basílio,65.821,90.403,
