Capital Humano
Sigla,Código,Município,1991,2000,
AL,2708105,Santana do Mundaú,300480.321050875,432511.451782001,
AL,2708204,São Brás,175223.496341301,293002.521924479,
AL,2708303,São José da Laje,645370.151341394,906040.991276661,
AL,2708402,São José da Tapera,600734.05129971,963448.710918042,
AL,2708501,São Luís do Quitunde,806749.948943617,1126680.31190609,
AL,2708600,São Miguel dos Campos,1761055.41255648,2656286.18573944,
AL,2708709,São Miguel dos Milagres,146516.808889704,254721.728820809,
AL,2708808,São Sebastião,616388.160858922,1049058.2060875,
AL,2708907,Satuba,377349.53364607,802261.336156273,
AL,2708956,Senador Rui Palmeira,218593.882817537,410942.628589594,
AL,2709004,Tanque d'Arca,206879.986581687,277883.112221078,
AL,2709103,Taquarana,426748.965187781,670445.694499433,
AL,2709152,Teotônio Vilela,805641.828502296,1548378.23656002,
AL,2709202,Traipu,568574.612747238,871503.573001959,
AL,2709301,União dos Palmares,1812426.10908822,2603334.94466268,
AL,2709400,Viçosa,767528.52268676,1238817.41841017,
AM,1300029,Alvarães,246957.677560595,436735.688748353,
AM,1300060,Amaturá,134919.942560622,290681.183139926,
AM,1300086,Anamã,167825.334446441,249407.375514199,
AM,1300102,Anori,259208.264690336,455589.646533816,
AM,1300144,Apuí,163499.68240581,580805.274931121,
AM,1300201,Atalaia do Norte,180740.340768677,361377.371990796,
AM,1300300,Autazes,501015.194746394,931085.186672882,
AM,1300409,Barcelos,322029.407322745,866053.547108627,
AM,1300508,Barreirinha,504759.018031506,846245.496952368,
AM,1300607,Benjamin Constant,557056.090850047,1026811.56851429,
AM,1300631,Beruri,173521.26748711,369382.511593077,
AM,1300680,Boa Vista do Ramos,189604.661433445,449334.222724298,
AM,1300706,Boca do Acre,662051.511992773,1121837.74969693,
AM,1300805,Borba,462776.247434048,1057342.79224879,
AM,1300839,Caapiranga,164723.063913494,364013.101009732,
AM,1300904,Canutama,260474.631889592,400739.669569715,
AM,1301001,Carauari,480408.136829665,823149.863484761,
AM,1301100,Careiro,696733.262276396,1075230.0930105,
AM,1301159,Careiro da Várzea,495414.55365852,694930.679600929,
AM,1301209,Coari,1123060.98080831,2698020.37349699,
AM,1301308,Codajás,364930.731168958,686999.220810204,
AM,1301407,Eirunepé,550304.386396893,1023230.75938278,
AM,1301506,Envira,314858.620272274,583780.521565317,
AM,1301605,Fonte Boa,400203.059211352,1010320.15301991,
AM,1301654,Guajará,273891.32407406,420482.044526867,
AM,1301704,Humaitá,1066990.07588426,1554561.22353927,
AM,1301803,Ipixuna,200047.303049566,444214.144542346,
AM,1301852,Iranduba,553534.6507915,1495374.98061162,
AM,1301902,Itacoatiara,2203926.38235045,3588346.9314609,
AM,1301951,Itamarati,167163.605648437,219605.489089387,
AM,1302009,Itapiranga,174200.832754137,346016.311724942,
AM,1302108,Japurá,226125.682439937,324989.871243217,
AM,1302207,Juruá,114489.810598678,211495.394906722,
AM,1302306,Jutaí,351369.301369381,689814.873827035,
AM,1302405,Lábrea,741679.315090919,1123071.55344102,
AM,1302504,Manacapuru,1823895.9790135,3305460.72192676,
AM,1302553,Manaquiri,277737.68005166,553686.144752824,
AM,1302603,Manaus,61728529.6862525,111475799.039323,
AM,1302702,Manicoré,984749.147080753,1457296.50678682,
AM,1302801,Maraã,243658.65002917,532954.101615385,
AM,1302900,Maués,930172.451624534,1667785.12927539,
